sku,status,seconds,cost_usd,conf,producer,vintage,serper,brave,bing,gemini
S004481,success,102.0,0.02,72,100,75,3,3,3,8
S004482,reused,0.0,0.0,,,,0,0,0,0
S004483,success,84.0,0.0205,66,100,100,3,3,3,10
S004484,success,72.0,0.0185,72,100,100,3,3,2,2
S004485,failed,25.0,0.0182,0,0,0,3,3,2,1
S004486,success,38.0,0.0185,33,13,75,3,3,3,2
S004487,success,88.0,0.0195,56,100,0,3,3,3,6
S004488,failed,24.0,0.018,0,0,0,3,3,2,0
S004489,failed,26.0,0.018,0,0,0,3,3,3,0
S004490,success,40.0,0.0185,95,100,100,3,3,3,2
S004491,success,50.0,0.019,97,100,100,3,3,3,4
S004492,success,85.0,0.0198,97,100,100,3,3,3,7
S004493,success,99.0,0.0195,62,100,50,3,3,2,6
S004494,success,38.0,0.0185,32,19,40,3,3,3,2
S004495,reused,0.0,0.0,,,,0,0,0,0
S004496,success,101.0,0.0195,47,0,0,3,3,3,6
S004497,success,112.0,0.0195,52,14,0,3,3,3,6
S004498,reused,0.0,0.0,,,,0,0,0,0
S004499,failed,43.0,0.018,0,0,0,3,3,3,0
S004500,success,104.0,0.0205,65,100,0,3,3,3,10
S004501,success,207.0,0.022,86,85,0,3,3,3,16
S004502,success,114.0,0.0205,77,100,0,3,3,3,10
S004503,success,115.0,0.0215,77,100,0,3,3,3,14
S004504,success,68.0,0.02,80,94,0,3,3,3,8
S004505,success,84.0,0.02,95,94,100,3,3,2,8
S004506,success,140.0,0.0205,82,100,0,3,3,2,10
S004507,success,64.0,0.019,72,100,75,3,3,3,4
S004508,success,50.0,0.019,93,100,75,3,3,3,4
S004509,success,163.0,0.021,92,100,100,3,3,3,12
S004510,success,95.0,0.0205,89,100,50,3,3,3,10
S004511,success,129.0,0.0205,89,100,50,3,3,3,10
S004512,reused,0.0,0.0,,,,0,0,0,0
S004513,success,61.0,0.0195,89,100,50,3,3,3,6
S004514,reused,0.0,0.0,,,,0,0,0,0
S004515,success,66.0,0.0195,82,100,0,3,3,3,6
S004516,reused,0.0,0.0,,,,0,0,0,0
S004517,success,101.0,0.021,89,100,50,3,3,3,12
S004518,success,73.0,0.0195,82,100,0,3,3,3,6
S004519,success,102.0,0.0207,90,100,100,3,3,2,11
S004520,success,115.0,0.0205,80,100,0,3,3,3,10
S004521,success,59.0,0.0185,64,100,50,3,3,3,2
S004522,success,115.0,0.0205,78,100,0,3,3,3,10
S004523,failed,29.0,0.018,0,0,0,3,3,3,0
S004524,failed,37.0,0.018,0,0,0,3,3,3,0
S004525,success,81.0,0.019,77,100,0,3,3,3,4
S004526,success,79.0,0.02,85,100,50,3,3,2,8
S004527,reused,0.0,0.0,,,,0,0,0,0
S004528,success,48.0,0.0185,76,100,0,3,3,2,2
S004529,success,160.0,0.02,57,100,0,3,3,3,8
S004530,reused,0.0,0.0,,,,0,0,0,0
S004531,success,100.0,0.0195,63,100,0,3,3,3,6
S004532,success,121.0,0.0205,60,37,0,3,3,3,10
S004533,success,210.0,0.0222,88,100,75,3,3,3,17
S004534,success,185.0,0.022,73,100,75,3,3,3,16
S004535,success,132.0,0.022,65,100,75,3,3,3,16
S004536,success,50.0,0.0185,82,100,0,3,3,3,2
S004537,timeout,120,0.024,0,0,0,3,3,3,24
S004538,success,241.0,0.0225,92,100,100,3,3,3,18
S004539,success,105.0,0.02,91,83,100,3,3,3,8
S004540,success,43.0,0.0185,48,75,50,3,3,3,2
S004541,success,48.0,0.0185,82,100,0,3,3,3,2
S004542,success,52.0,0.0187,82,100,0,3,3,3,3
S004543,success,44.0,0.0185,55,23,0,3,3,3,2
S004544,success,40.0,0.0185,23,23,0,3,3,3,2
S004545,success,63.0,0.019,55,23,0,3,3,3,4
S004546,failed,28.0,0.018,0,0,0,3,3,3,0
S004547,success,96.0,0.02,77,100,100,3,3,3,8
S004548,reused,0.0,0.0,,,,0,0,0,0
S004549,reused,0.0,0.0,,,,0,0,0,0
S004550,success,91.0,0.019,74,100,0,3,3,3,4
S004551,success,77.0,0.0195,96,100,0,3,3,2,6
S004552,success,74.0,0.02,92,100,0,3,3,2,8
S004553,success,57.0,0.019,96,100,0,3,3,2,4
S004554,success,54.0,0.019,73,100,0,3,3,3,4
S004555,success,86.0,0.0195,72,100,0,3,3,3,6
S004556,success,61.0,0.019,77,100,0,3,3,2,4
S004557,success,39.0,0.0185,82,100,0,3,3,3,2
S004558,success,63.0,0.0185,89,100,50,3,3,3,2
S004559,reused,0.0,0.0,,,,0,0,0,0
S004560,success,44.0,0.0185,10,0,0,3,3,3,2
S004561,success,59.0,0.0195,93,100,75,3,3,3,6
S004562,failed,27.0,0.018,0,0,0,3,3,3,0
S004563,success,97.0,0.02,74,100,0,3,3,3,8
S004564,success,139.0,0.0212,72,100,0,3,3,3,13
S004565,success,97.0,0.0202,67,100,0,3,3,3,9
S004566,success,92.0,0.0185,29,7,0,3,3,3,2
S004567,success,69.0,0.0195,39,40,0,3,3,2,6
S004568,success,158.0,0.021,89,100,50,3,3,3,12
S004569,success,73.0,0.0192,89,100,50,3,3,3,5
S004570,success,164.0,0.0195,74,100,0,3,3,2,6
S004571,success,44.0,0.0185,71,100,0,3,3,3,2
S004572,success,54.0,0.019,74,100,0,3,3,3,4
S004573,success,62.0,0.019,72,100,0,3,3,3,4
S004574,success,224.0,0.0195,74,100,0,3,3,3,6
S004575,success,73.0,0.019,74,100,0,3,3,3,4
S004576,success,163.0,0.0195,74,100,0,3,3,2,6
